Customer ID,Age,Contract Type,Monthly Charges,Tenure,Churn
CUST-10000,56,Month-to-Month,58.95,67,No
CUST-10001,69,Month-to-Month,71.13,22,No
CUST-10002,46,One Year,112.91,42,Yes
CUST-10003,32,Two Year,107.43,20,No
CUST-10004,60,One Year,33.45,48,No
CUST-10005,25,Month-to-Month,37.28,18,No
CUST-10006,78,One Year,55.76,70,No
CUST-10007,38,Month-to-Month,49.07,6,Yes
CUST-10008,56,Month-to-Month,81.48,39,Yes
CUST-10009,75,Two Year,110.28,11,No
CUST-10010,36,Month-to-Month,116.23,25,Yes
CUST-10011,40,Month-to-Month,85.36,55,No
CUST-10012,28,Month-to-Month,103.82,58,Yes
CUST-10013,28,Two Year,72.52,37,No
CUST-10014,41,One Year,40.83,16,No
CUST-10015,70,One Year,72.47,70,No
CUST-10016,53,One Year,75.51,37,Yes
CUST-10017,57,Month-to-Month,94.25,53,No
CUST-10018,41,Month-to-Month,41.99,16,Yes
CUST-10019,20,Month-to-Month,56.83,18,Yes
CUST-10020,39,Month-to-Month,56.4,19,No
CUST-10021,70,Month-to-Month,115.94,44,Yes
CUST-10022,19,Two Year,64.39,2,No
CUST-10023,41,Month-to-Month,95.51,58,No
CUST-10024,61,Month-to-Month,95.08,10,Yes
CUST-10025,47,Month-to-Month,46.55,46,Yes
CUST-10026,55,Month-to-Month,77.19,19,No
CUST-10027,19,Two Year,109.43,38,No
CUST-10028,77,Month-to-Month,67.52,37,No
CUST-10029,38,Month-to-Month,114.51,45,Yes
CUST-10030,50,One Year,41.45,34,No
CUST-10031,29,Month-to-Month,27.42,2,Yes
CUST-10032,75,Month-to-Month,109.15,44,Yes
CUST-10033,39,Month-to-Month,104.77,27,Yes
CUST-10034,78,One Year,119.26,48,No
CUST-10035,61,Two Year,87.94,7,Yes
CUST-10036,42,One Year,113.67,27,No
CUST-10037,66,Month-to-Month,102.69,71,No
CUST-10038,44,Two Year,104.44,18,No
CUST-10039,76,Month-to-Month,76.91,33,No
CUST-10040,59,Month-to-Month,58.24,33,Yes
CUST-10041,45,Month-to-Month,113.46,25,Yes
CUST-10042,77,Month-to-Month,63.21,14,No
CUST-10043,33,Month-to-Month,73.88,38,Yes
CUST-10044,32,One Year,64.61,38,No
CUST-10045,79,Two Year,76.48,4,No
CUST-10046,79,Month-to-Month,67.05,62,No
CUST-10047,64,Month-to-Month,24.8,10,Yes
CUST-10048,79,Month-to-Month,108.2,35,Yes
CUST-10049,68,Month-to-Month,64.44,23,No
CUST-10050,61,One Year,78.89,65,No
